GalaxyID,Class1.1,Class1.2,Class1.3,Class2.1,Class2.2,Class3.1,Class3.2,Class4.1,Class4.2,Class5.1,Class5.2,Class5.3,Class5.4,Class6.1,Class6.2,Class7.1,Class7.2,Class7.3,Class8.1,Class8.2,Class8.3,Class8.4,Class8.5,Class8.6,Class8.7,Class9.1,Class9.2,Class9.3,Class10.1,Class10.2,Class10.3,Class11.1,Class11.2,Class11.3,Class11.4,Class11.5,Class11.6
100008,0.383147,0.616853,0,0,0.616853,0.038452149,0.578400851,0.418397819,0.198455181,0,0.104752126,0.512100874,0,0.054453,0.945547,0.201462524,0.181684476,0,0,0.0272265,0,0.0272265,0,0,0,0,0,0,0.279952491,0.138445328,0,0,0.092885571,0,0,0,0.325512248
100023,0.327001,0.663777,0.009222,0.031178269,0.632598731,0.467369636,0.165229095,0.591327989,0.041270741,0,0.236781072,0.160940708,0.23487695,0.189149,0.810851,0,0.135081824,0.191919176,0,0,0.140353476,0,0.048795524,0,0,0.012414127,0,0.018764143,0,0.131377705,0.459950285,0,0.591327989,0,0,0,0
100053,0.765717,0.177352,0.056931,0,0.177352,0,0.177352,0,0.177352,0,0.11778975,0.05956225,0,0,1,0,0.74186415,0.02385285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100078,0.693377,0.238564,0.068059,0,0.238564,0.109493481,0.129070519,0.189098232,0.049465768,0,0,0.113284024,0.125279976,0.320398,0.679602,0.408599439,0.284777561,0,0,0,0.0961194,0.0961194,0,0.1281592,0,0,0,0,0.094549116,0,0.094549116,0.189098232,0,0,0,0,0
100090,0.933839,0,0.066161,0,0,0,0,0,0,0,0,0,0,0.029383,0.970617,0.494587282,0.439251718,0,0,0,0,0,0,0.029383,0,0,0,0,0,0,0,0,0,0,0,0,0
100122,0.738832,0.238159,0.023009,0,0.238159,0,0.238159,0,0.238159,0,0,0.238159,0,0.19793,0.80207,0.066806667,0.663691308,0.008334764,0,0,0.0494825,0.098965,0.0494825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100123,0.462492,0.456033,0.081475,0,0.456033,0,0.456033,0,0.456033,0,0,0.456033,0,0.687647,0.312353,0.388157511,0.074334489,0,0,0,0,0,0.213858217,0.473788783,0,0,0,0,0,0,0,0,0,0,0,0,0
100128,0.687783,0.288344,0.023873,0,0.288344,0.069098179,0.219245821,0,0.288344,0.067228269,0.123624607,0.027835576,0.069655548,0.473888,0.526112,0.482482526,0.205300474,0,0,0.067765984,0.033646048,0,0.304709984,0.067765984,0,0,0,0,0,0,0,0,0,0,0,0,0
100134,0.021834,0.976952,0.001214,0.021750859,0.955201141,0.313076726,0.642124415,0.546490632,0.408710509,0.160096487,0.760687801,0.034416852,0,0.611499,0.388501,0.010917,0.010917,0,0,0.032377038,0.064143188,0.4502247,0,0.032377038,0.032377038,0,0,0.021750859,0.207252747,0.152044077,0.187193808,0,0,0.054649063,0.081973595,0.081973595,0.327894379
100143,0.269843,0.730157,0,0.730157,0,0,0,0,0,0,0,0,0,0.410635,0.589365,0,0,0.269843,0,0,0.034116788,0,0.136878196,0.239640016,0,0.56142867,0,0.16872833,0,0,0,0,0,0,0,0,0
100150,0.429378,0.524901,0.045721,0,0.524901,0,0.524901,0,0.524901,0,0.139390085,0.226527325,0.15898359,0.037499,0.962501,0.091016543,0.338361457,0,0,0,0.037499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100157,0.330462,0.669145,3.93E-04,0,0.669145,0.060014946,0.609130054,0.323994656,0.345150344,0.032978142,0.465372281,0.097891899,0.072903348,0.129321,0.870679,0.256827796,0.073634204,0,0,0,0.02157501,0.086170979,0.02157501,0,0,0,0,0,0.183397823,0.140596833,0,0.042326338,0.052371144,0,0,0,0.229297174
100187,0.448521,0.551479,0,0,0.551479,0.395389487,0.156089513,0.249897746,0.301581254,0,0.232148945,0.319330055,0,0.252285,0.747715,0.39001906,0.039151398,0.019350542,0.19627773,0,0,0.028003635,0.028003635,0,0,0,0,0,0.193314898,0.056582847,0,0,0,0,0,0.031237218,0.218660527
100204,0.467625,0.53148,8.95E-04,0,0.53148,0,0.53148,0.036043379,0.495436621,0.118452542,0.413027458,0,0,0.084531,0.915469,0,0.25405926,0.21356574,0,0,0.037531764,0,0.046999236,0,0,0,0,0,0,0.036043379,0,0,0.036043379,0,0,0,0
100237,0.164391,0.800759,0.03485,0.030794789,0.769964211,0.149036583,0.620927629,0.387741657,0.382222554,0.04905519,0.609382785,0.111527006,0,0.132726,0.867274,0,0.164391,0,0.0597267,0,0,0,0.0729993,0,0,0.030794789,0,0,0.208685274,0.179056383,0,0.032727722,0.140980152,0,0,0.089185234,0.124848161
100259,0.338597,0.661403,0,0,0.661403,0.073501054,0.587901946,0.299843082,0.361559918,0,0,0.581238311,0.080164689,0.439053,0.560947,0.223842752,0.114754248,0,0.439053,0,0,0,0,0,0,0,0,0,0.209312959,0.090530122,0,0.099847746,0,0,0,0,0.199995335
100263,0.179654,0.81853,0.001816,0.573791167,0.244738833,0.047325638,0.197413195,0.016622906,0.228115927,0.07109761,0.067407193,0.106233785,0,0.913055,0.086945,0,0.075166874,0.104487126,0,0.019174155,0.019174155,0.05843552,0.05843552,0.75783565,0,0.340376363,0.091809456,0.141605348,0,0.007855104,0.008767802,0,0,0,0,0,0.016622906
100288,0.64558,0.308559,0.045861,0,0.308559,0,0.308559,0,0.308559,0,0.058012178,0.250546822,0,0.091757,0.908243,0.102572978,0.543007022,0,0,0,0,0,0.0458785,0.0458785,0,0,0,0,0,0,0,0,0,0,0,0,0
100295,0.742621,0.191321,0.066058,0,0.191321,0.078696258,0.112624742,0,0.191321,0,0,0.191321,0,0.382008,0.617992,0,0.647901177,0.094719823,0,0.095597502,0.222933757,0.031738371,0.031738371,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100322,0.091987,0.908013,0,0.816805818,0.091207182,0,0.091207182,0,0.091207182,0.044668535,0,0,0.046538647,0,1,0,0,0.091987,0,0,0,0,0,0,0,0.629588207,0.044402381,0.14281523,0,0,0,0,0,0,0,0,0
100335,0.165002,0.834998,0,0.235324981,0.599673019,0.148673933,0.450999086,0.378225766,0.221447252,0.301093424,0.139671642,0.158907953,0,0.313408,0.686592,0,0.1237515,0.0412505,0.024132416,0,0,0.216878336,0.072397248,0,0,0.078441582,0.078441582,0.078441582,0.047278221,0.236391104,0.094556442,0.141834662,0.094556442,0,0,0,0.141834662
100367,0.471429,0.512708,0.015863,0.028661915,0.484046085,0.21702061,0.267025475,0.265796482,0.218249603,0.128302707,0.121890549,0.156521626,0.077331202,0.43058,0.56942,0.026337795,0.445091205,0,0,0.030601751,0,0.030601751,0.123269026,0.246107472,0,0.028661915,0,0,0,0.265796482,0,0,0.139273369,0.126523112,0,0,0
100380,0.03,0.97,0,0.04365,0.92635,0.463175,0.463175,0.92635,0,0,0.5724843,0.32700155,0.02686415,0.101,0.899,0,0.02721,0.00279,0.027343629,0.01614384,0.030168801,0.027343629,0,0,0,0.01619415,0,0.02745585,0.463175,0.463175,0,0,0.272619247,0.136309623,0.272619247,0.081600319,0.163200638
100382,0.256861,0.74281,3.29E-04,0,0.74281,0.077986136,0.664823864,0.412903566,0.329906434,0.039834672,0.397947087,0.257784782,0.047242716,0.23701,0.76299,0.03246723,0.22439377,0,0.04669097,0.03175934,0.03175934,0.12680035,0,0,0,0,0,0,0.312226116,0.062668852,0.038008599,0.061582915,0,0.152688436,0,0,0.198632215
100383,0.3053,0.681721,0.012979,0.036131213,0.645589787,0.377656468,0.267933319,0.443602174,0.201987613,0,0.030531232,0.450475768,0.164582787,0.330713,0.669287,0.18290981,0.122390191,0,0.300618117,0,0,0,0.030094883,0,0,0,0,0.036131213,0.221801087,0.147719524,0.074081563,0.147867243,0.147867243,0,0,0,0.147867243
100402,0.61,0.39,0,0,0.39,0,0.39,0,0.39,0,0,0.2925,0.0975,0.39,0.61,0.1464,0.4636,0,0.36582,0,0,0,0,0,0.02418,0,0,0,0,0,0,0,0,0,0,0,0
100428,0.715291,0.259587,0.025122,0,0.259587,0,0.259587,0,0.259587,0,0.107867744,0.151719256,0,0.079298,0.920702,0.562276665,0.153014335,0,0.003881716,0,0.03905482,0,0.036361384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
